original_concept,target_concept,num_images,original_positive,original_negative,original_both,poisoned_positive,poisoned_negative,poisoned_both,original_bleu,poisoned_bleu,original_meteor,poisoned_meteor
orange,banana,1186,606,25,0,925,7,0,0.3060972279457841,0.042671762630040765,0.5213797451532811,0.2466307065946309
horse,cow,1585,1406,13,0,786,49,0,0.4075840619111414,0.05822005514408314,0.6015417267567229,0.26222231518119005
boat,sandwich,1089,677,0,0,538,0,0,0.3067109472099967,0.018155636358871824,0.5274244894722386,0.20419003075906597
wine glass,traffic light,1943,350,0,0,636,0,0,0.45343498390331577,0.02353996874779796,0.6225869946096882,0.20108574680996602
person,airplane,718,146,2,0,276,2,0,0.39274829073262585,0.015560994740724877,0.5703319786090275,0.19547582912671582
skateboard,surfboard,1302,1118,5,0,926,1,0,0.37350389698604286,0.06280813707496732,0.578351051717987,0.2826160855467108
cup,bottle,3097,269,5,0,132,9,0,0.4087694911093145,0.048620124793086895,0.5892331482464841,0.24397196407261304
sink,backpack,1402,904,0,0,27,2,0,0.36221918431939676,0.020659068246654075,0.5827082078312043,0.20338095887536045
car,motorcycle,1306,376,0,0,1008,26,0,0.41542975738800414,0.0483906199668806,0.582849087064024,0.2458466868645031
cat,train,1216,1082,0,0,1134,0,0,0.47677823622096044,0.023182061950855076,0.6514837375107481,0.20313015673929655
